,"chel.mk.ru


mk.ru +23
    ",100,39800,45,32,0%,33 979,до 3-х суток,5 000 Р ,500 Р ,10k-15k,128,Авто; Бизнес; СМИ
,"drive2.ru


    ",100,33800,51,39,0%,554 714,до 3-х суток,5 000 Р ,600 Р ,100k+,8,Авто; СМИ; Услуги
,"spb.aif.ru


aif.ru +39
    ",100,27300,49,45,0%,44 964,до 3-х суток,24 900 Р ,700 Р ,15k-20k,139,Авто; Бизнес; СМИ
,"Адрес скрыт


    ",100,23700,76,60,0%,46 690,до 3-х суток,21 480 Р ,1 074 Р ,100k+,67,Бизнес; СМИ; Услуги
,"rusvesna.su


    ",100,18600,71,56,0%,48 570,менее суток,4 296 Р ,502 Р ,40k-50k,336,Бизнес; СМИ; Услуги
,"russian7.ru


    ",100,16700,44,16,10%,43 584,менее суток,1 000 Р ,120 Р ,100k+,5016,Культура; СМИ
,"business-gazeta.ru


business-gazeta.ru +2
    ",100,12900,66,49,4%,46 842,до 3-х суток,1 350 Р ,80 Р ,100k+,2095,Бизнес; Транспортные услуги; Услуги
,"vm.ru


    ",100,10800,61,52,1%,45 286,менее суток,7 200 Р ,750 Р ,100k+,572,СМИ
,"tsn.ua


tsn.ua +1
    ",100,9400,58,40,0%,51 782,до 3-х суток,32 219 Р ,1 074 Р ,100k+,41,Бизнес; СМИ; Услуги
,"km.ru


    ",100,9150,54,66,1%,44 235,до 3-х суток,4 143 Р ,702 Р ,30k-40k,500,Авто; Бизнес; СМИ
,"Адрес скрыт


online.ua +1
    ",100,9050,37,16,0%,45 004,менее суток,10 740 Р ,450 Р ,20k-30k,19,Женский раздел; Интернет; СМИ
,"Адрес скрыт


    ",100,8800,71,65,0%,50 051,до 3-х суток,28 639 Р ,1 074 Р ,100k+,52,Бизнес; СМИ; Услуги
,"66.ru


    ",100,8650,43,21,0%,47 374,менее суток,1 500 Р ,400 Р ,40k-50k,97,СМИ
,"rsute.ru


    ",100,8550,23,15,1%,44 800,менее суток,3 227 Р ,350 Р ,50k-70k,818,Бизнес; Офис; СМИ
,"klerk.ru


    ",100,8550,56,52,0%,169 798,менее суток,4 200 Р ,800 Р ,100k+,1998,Бизнес; Офис; СМИ
,"politnavigator.net


    ",100,7950,52,23,0%,48 347,менее суток,10 096 Р ,3 580 Р ,50k-70k,38,Бизнес; СМИ; Туризм
,"rusplt.ru


    ",100,7800,50,51,0%,63 879,менее суток,6 999 Р ,500 Р ,100k+,66,Бизнес; Культура; СМИ
,"audit-it.ru


    ",100,7700,52,27,0%,128 311,менее суток,2 950 Р ,410 Р ,50k-70k,561,Бизнес
,"Адрес скрыт


    ",100,7700,35,28,0%,47 043,до 3-х суток,3 366 Р ,502 Р ,100k+,417,Бизнес; Женский раздел; СМИ
,"bnkomi.ru


    ",100,7650,53,48,1%,78 629,до 3-х суток,1 100 Р ,85 Р ,50k-70k,1572,Бизнес; СМИ
,"calend.ru


    ",100,7600,69,69,0%,46 245,менее суток,6 500 Р ,1 046 Р ,50k-70k,517,Женский раздел; Отдых; Услуги
,"eg.ru


    ",100,7350,48,25,0%,50 068,до 3-х суток,40 000 Р ,600 Р ,100k+,196,Отдых
,"izvmor.ru


    ",100,7250,45,27,0%,43 938,до 3-х суток,3 600 Р ,200 Р ,50k-70k,330,Бизнес; СМИ; Услуги
,"pr.meta.ua


    ",100,7050,45,27,0%,10 158,менее суток,9 900 Р ,500 Р ,5k-10k,50,Авто; Здоровье; СМИ
,"gazeta.ua


    ",100,7000,59,48,0%,45 893,до 3-х суток,17 000 Р ,716 Р ,70k-100k,196,Бизнес; СМИ; Услуги
,"oko-planet.su


    ",100,7000,53,19,0%,808 821,менее суток,3 094 Р ,410 Р ,5k-10k,486,Бизнес; Образование; СМИ
,"zavtra.ru


    ",100,6750,44,47,1%,44 042,до 3-х суток,3 580 Р ,410 Р ,40k-50k,485,Культура; Образование; СМИ
,"bigpicture.ru


    ",100,6750,57,57,6%,78 360,менее суток,2 506 Р ,716 Р ,70k-100k,6177,Отдых; Строительство; Услуги
,"Адрес скрыт


    ",100,6700,50,49,1%,44 413,до 3-х суток,5 012 Р ,3 938 Р ,30k-40k,1037,Бизнес; Образование; СМИ
,"vse42.ru


vse42.ru +2
    ",100,6550,47,44,0%,45 260,до 3-х суток,9 300 Р ,500 Р ,70k-100k,50,Женский раздел; Недвижимость; СМИ
,"Адрес скрыт


    ",100,6550,40,43,0%,105 734,до 3-х суток,120 000 Р ,1 000 Р ,100k+,109,Услуги
,"bloknot-voronezh.ru


bloknot-voronezh.ru +2
    ",100,6450,42,17,1%,55 027,менее суток,3 000 Р ,600 Р ,30k-40k,716,Недвижимость; СМИ; Услуги
,"Адрес скрыт


    ",100,6300,52,32,0%,51 682,до 3-х суток,18 616 Р ,1 074 Р ,100k+,9,Бизнес; СМИ; Услуги
,"dni24.com


    ",100,6100,52,18,1%,45 057,менее суток,7 000 Р ,350 Р ,40k-50k,1220,СМИ
,"0629.com.ua


    ",100,6000,46,54,4%,45 544,менее суток,2 789 Р ,199 Р ,15k-20k,2732,Бизнес; СМИ; Услуги
,"shkolazhizni.ru


    ",100,6000,57,58,1%,45 694,менее суток,6 500 Р ,1 100 Р ,70k-100k,589,Женский раздел; Здоровье; Услуги
,"1rre.ru


    ",100,5950,26,17,1%,44 762,менее суток,3 580 Р ,600 Р ,100k+,541,Бизнес; Недвижимость; СМИ
,"Адрес скрыт


    ",100,5700,48,29,0%,45 875,до 3-х суток,26 000 Р ,600 Р ,50k-70k,97,Быт. техника; Мобильные технологии; СМИ
,"Адрес скрыт


versia.ru +4
    ",100,5700,48,48,0%,44 934,до 3-х суток,5 012 Р ,3 580 Р ,70k-100k,443,Здоровье; Образование; СМИ
,"orenburg.bezformata.com


bezformata.com +109
    ",100,5700,52,17,0%,45 182,до 3-х суток,1 500 Р ,300 Р ,5k-10k,23,Бизнес; Культура; СМИ
,"photobank.sarbc.ru


sarbc.ru +2
    ",100,5600,33,25,0%,44 254,до 3-х суток,500 Р ,240 Р ,2k-5k,139,Культура; СМИ
,"c-inform.info


    ",100,5500,61,57,0%,90 132,до 3-х суток,2 258 Р ,604 Р ,20k-30k,748,Бизнес; СМИ; Услуги
,"infpol.ru


    ",100,5400,47,51,3%,48 007,до 3-х суток,1 100 Р ,85 Р ,30k-40k,1893,Услуги
,"intex-press.by


    ",100,5400,50,23,2%,46 784,до 3-х суток,1 263 Р ,680 Р ,100k+,1316,СМИ
,"argumentiru.com


    ",100,5350,44,18,1%,44 247,до 3-х суток,1 850 Р ,600 Р ,50k-70k,866,Женский раздел; СМИ; Строительство
,"kakprosto.ru


    ",100,5300,46,29,0%,60 369,менее суток,18 000 Р ,10 Р ,70k-100k,112,Быт; Женский раздел; Строительство
,"v-kosmose.com


    ",100,5300,34,20,1%,20 147,менее суток,1 647 Р ,1 074 Р ,100k+,250,Образование; Отдых
,"lifedon.com.ua


    ",100,5300,43,43,5%,44 788,менее суток,630 Р ,500 Р ,50k-70k,3141,Бизнес; Производство; СМИ
,"komiinform.ru


    ",100,5250,51,49,3%,45 203,до 3-х суток,830 Р ,80 Р ,30k-40k,1806,Недвижимость; Образование; СМИ
,"newsland.com


    ",100,5200,58,45,0%,46 888,менее суток,7 876 Р ,1 790 Р ,20k-30k,52,Услуги
,"grodno24.com


    ",100,5100,37,21,1%,39 992,менее суток,1 790 Р ,716 Р ,100k+,750,Авто; Бизнес; СМИ
,"dialog.ua


    ",100,5100,61,20,0%,47 879,менее суток,21 480 Р ,1 074 Р ,30k-40k,8,Бизнес; СМИ; Услуги
,"1777.ru


    ",100,5050,45,18,7%,6 994,менее суток,999 Р ,299 Р ,2k-5k,591,Недвижимость; Работа; СМИ
,"chitalnya.ru


    ",100,5050,31,30,0%,49 750,менее суток,1 500 Р ,1 200 Р ,20k-30k,188,Культура; СМИ
,"kp40.ru


kp40.ru +1
    ",100,4990,48,39,0%,44 799,менее суток,2 500 Р ,270 Р ,30k-40k,261,Авто; Недвижимость; СМИ
,"nversia.ru


    ",100,4990,48,19,0%,45 015,менее суток,3 000 Р ,410 Р ,70k-100k,21,СМИ
,"donnews.ru


    ",100,4970,53,19,8%,43 308,менее суток,700 Р ,400 Р ,30k-40k,4042,Бизнес; СМИ; Услуги
,"bloknot-rostov.ru


    ",100,4910,48,30,0%,51 994,менее суток,3 000 Р ,600 Р ,20k-30k,464,Культура; Отдых; СМИ
,"73online.ru


    ",100,4900,41,44,0%,44 857,менее суток,5 000 Р ,1 000 Р ,70k-100k,90,Бизнес; Недвижимость; СМИ
,"vchaspik.ua


    ",100,4880,48,19,0%,983 542,менее суток,2 399 Р ,600 Р ,10k-15k,3847,Бизнес; Женский раздел; СМИ
,"lada.kz


    ",100,4810,49,46,0%,44 006,менее суток,10 000 Р ,500 Р ,100k+,26,Бизнес; СМИ
,"bryansktoday.ru


    ",100,4800,38,18,3%,44 727,до 3-х суток,901 Р ,85 Р ,50k-70k,1632,Бизнес; Недвижимость; СМИ
,"Адрес скрыт


    ",100,4740,54,21,0%,32 652,менее суток,3 500 Р ,500 Р ,50k-70k,101,Образование; СМИ; Туризм
,"kh.vgorode.ua


vgorode.ua +7
    ",100,4700,39,18,0%,44 101,до 3-х суток,14 320 Р ,500 Р ,100k+,64,Бизнес; СМИ; Услуги
,"gorno-altaisk.info


    ",100,4660,43,39,0%,31 069,до 3-х суток,3 200 Р ,500 Р ,20k-30k,195,Культура; СМИ; Услуги
,"ktv-ray.ru


    ",100,4640,45,18,0%,45 031,до 3-х суток,4 500 Р ,550 Р ,100k+,59,Бизнес; Культура; СМИ
,"pg21.ru


    ",100,4630,48,16,0%,45 065,менее суток,1 500 Р ,3 000 Р ,70k-100k,494,СМИ
,"wroom.ru


    ",100,4600,44,15,1%,47 956,менее суток,1 190 Р ,390 Р ,40k-50k,815,Авто; СМИ; Транспортные услуги
,"rzn.info


    ",100,4570,39,48,0%,44 959,менее суток,10 740 Р ,1 615 Р ,70k-100k,31,СМИ
